item_id,produto_ml,marca_ml,sku_ml,receita,pedidos,candidato_seconds_id,candidato_seconds_produto,candidato_seconds_sku,candidato_seconds_marca,candidato_cmv_unitario,score_similaridade,metodo_match,status_match_inteligente,padrao_erro,motivo_original
MLB4229915339,Engate Reboque Fixo Megane Grand Tour X-tr 2010 A 2012,N/D,N/D,573.17,1,MLB5362264138,Engate Fixo Megane Grand Tour Xtr 2010 Até 2012,RE1017,Brucke,304.8,95.12,produto,MATCH_AUTOMATICO,sku_ausente_ml,SEM_MATCH_SECONDS
MLB4345296599,Bronzina Mancal Ford Novo Ka New Fiesta 1.5 16v Sigma,N/D,N/D,570.29,3,MLB5298226718,Jogo Bronzina Mancal Std Focus Fiesta Ka 1.5 1.6 16v 10/20,BCFO16B/STD,Takao,87.05,82.86,produto,MATCH_PROVAVEL,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB6143703260,Junta Superior Cabeçote Civic 1.6 16v 95/00,N/D,N/D,559.9300000000001,2,MLB3862330619,Junta Superior Cabeçote Palio Siena Brava 1.6 16v 95/00,141233PK,Bastos Juntas,56.0,91.67,produto,MATCH_AUTOMATICO,sku_ausente_ml; palavras_extras_seconds,SEM_MATCH_SECONDS
MLB4043416789,Engate Fixo Kombi 1997 A 2005,N/D,N/D,555.64,1,MLB4040584101,Engate Fixo T50,JC1004,Brucke,304.8,88.89,produto,MATCH_PROVAVEL,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB5791136854,Par Tambor Freio Traseiro Chevrolet S10 4x2 2021 2022,N/D,N/D,530.75,1,MLB5454669306,Pastilha Freio Dianteira Chevrolet S10 2018 2019 2020 2021,ECO1578,Ecopads,62.4,85.19,produto,MATCH_PROVAVEL,sku_ausente_ml; palavras_extras_seconds,SEM_MATCH_SECONDS
MLB5298213144,"Jogo Pistão 1,00 Fielder Corolla X60 1.8 16v 02/18",N/D,N/D,518.3,1,MLB5298149684,Jogo Pistão Std Corolla Fielder X60 1.8 16v 02/18,PTO18/STD,Takao,280.77,100.0,produto,MATCH_AUTOMATICO,sku_ausente_ml,SEM_MATCH_SECONDS
MLB6230829704,Junta Tampa Válvulas Focus 2014-2019 2.0 Duratec Direct Flex,N/D,N/D,517.87,4,MLB4460822885,Junta Da Tampa Valvulas Fiat Ducato 2.8 Aspirado,151742BN,Bastos Juntas,13.79,83.64,produto,MATCH_PROVAVEL,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
MLB5755067246,Engate Reboque Fixo Kicks 2017 A 2025,N/D,N/D,515.01,1,MLB4229250583,Engate Reboque Fixo Kicks 2017 A 2025,NI1009,Brucke,304.8,100.0,produto,MATCH_AUTOMATICO,sku_ausente_ml; nomenclatura_invertida,SEM_MATCH_SECONDS
MLB5298149864,"Jogo Pistão 0,40 Uno Siena Mobi 1.0 8v 11/19",N/D,N/D,481.35,1,MLB5298162102,Jogo Pistão Std Uno Siena Mobi 1.0 8v 11/19,PFI10G/STD,Takao,231.47,100.0,produto,MATCH_AUTOMATICO,sku_ausente_ml,SEM_MATCH_SECONDS
MLB6143729092,Kit Junta Tampa Valvula Doblo Idea Palio Punto Etorq 10/17,N/D,N/D,450.46,4,MLB4610040083,Junta Tampa Valvula Doblo Idea Palio Etorq 1.6 1.8 08/13,1417872BN,Bastos Juntas,58.1,93.33,produto,MATCH_AUTOMATICO,sku_ausente_ml; palavras_extras_ml,SEM_MATCH_SECONDS
