item_id,sku,produto,marca,categoria,motivo_sem_cmv,receita_total,pedidos,unidades
MLB4614789737,T-199,Polia Da Bomba Dágua Mwm 225 229 D6 Td6 Tdec6,Triade,Polias para Bombas de Água,PARAMETRO_NAO_CONFIAVEL,472.22,1,1.0
MLB5755042126,YH1000,Engate Reboque Fixo Factor 125 150 Fazer 150 2016 A 2025,Brucke,Engate,PARAMETRO_NAO_CONFIAVEL,469.19,1,1.0
MLB4614571081,JCRFI13AM,Jogo Junta Completo Fiat Argo Cronos Uno Strada 1.3 8v Flex,Takao,Juntas de Motor,PARAMETRO_NAO_CONFIAVEL,466.38,1,1.0
MLB6593961266,T-464,Polia Do Virabrequim Sandero 1.6 16v H4m 2016 A 2021,Triade,Polia de Virabrequim,PARAMETRO_NAO_CONFIAVEL,454.77,1,1.0
MLB6229062670,151087PKR,Jogo Junta Motor C/ Retentor Peugeot 206 1.0 16v D4d,Bastos Juntas,Juntas de Motor,PARAMETRO_NAO_CONFIAVEL,454.68,1,1.0
MLB6143729092,N/D,Kit Junta Tampa Valvula Doblo Idea Palio Punto Etorq 10/17,N/D,N/D,SEM_MATCH_SECONDS,450.46000000000004,4,4.0
MLB4482089945,N/D,Valvulas De Admissão C4 Picasso C5 C8 Xsara Xsara Picasso,N/D,N/D,SEM_MATCH_SECONDS,450.25,2,2.0
MLB4463673425,N/D,Junta Cabeçote Soul Cerato Hb20 1.6 16v 0.75mm Aço,N/D,N/D,SEM_MATCH_SECONDS,447.13,2,2.0
MLB6090975972,N/D,Discos Freio Dianteiro Hilux Sw4 2.7 3.0 Aro 16 2005 À 2015,N/D,N/D,SEM_MATCH_SECONDS,446.72,1,1.0
MLB4007096853,131259PKR,Junta Sup Cabeçote C/ Ret Ranger 2.5 2.3 Dura Gas 8v 94/01,Bastos Juntas,Juntas de Motor,PARAMETRO_NAO_CONFIAVEL,442.57,1,1.0
MLB6165531168,PVW10/STD - ASVW10A/STD,Kit Jg Pistão E Anéis Parati Gol 1.0 8v At Mi 97/02 Gasolina Std,Takao,Pistão,PARAMETRO_NAO_CONFIAVEL,432.71,1,1.0
MLB4480154341,VADVW10F - VESVW10F,Kit Jg Válvulas Esc E Adm Up! 1.0 12v 14/18 Flex Aspirado,Takao,Válvulas,PARAMETRO_NAO_CONFIAVEL,422.35,1,1.0
MLB4480138777,VADGM10B - VESGM10B,Kit Valvula Admissao E Escape Celta 1.0 8v Vhc-e 2013 2014,Takao,Válvulas,PARAMETRO_NAO_CONFIAVEL,420.92,2,2.0
MLB5762327730,N/D,Bomba D.água  Outlander 3.0 V6 24v 2011,N/D,N/D,SEM_MATCH_SECONDS,417.82,1,1.0
MLB5440609864,N/D,Pastilha De Freio Traseira Malibu 2010 2011 Até 2013 2.4 16v,N/D,N/D,SEM_MATCH_SECONDS,415.68,2,2.0
MLB6635762880,N/D,Jogo Junta Completo Fiesta 1.0 8v Zetec Rocam Gasolina,N/D,N/D,SEM_MATCH_SECONDS,415.19,2,2.0
MLB4007109751,N/D,Junta Cabeçote Passat Voyage Ap 1.5 8v 74/83,N/D,N/D,SEM_MATCH_SECONDS,407.53,8,9.0
MLB6662558096,OCDA0910,Pastilha Dianteira Cerâmica Toro 1.3 Turbo Flex 2023 2024,OriginALLparts,Pastilhas de Freios,PARAMETRO_NAO_CONFIAVEL,390.49,1,1.0
MLB6224371096,N/D,"Junta Cabeçote Sob Medida 2,40mm Onix 1.0 12v L3",N/D,N/D,SEM_MATCH_SECONDS,388.22,2,2.0
MLB5732175360,OCDA2412,Pastilha Freio Cayenne (9pa) 3.6 2007 2008 2009 2010,OriginALLparts,Pastilhas de Freios,PARAMETRO_NAO_CONFIAVEL,384.95,1,1.0
MLB6143533902,N/D,Par Disco Freio Dianteiro Mds Tucson 2.0 2005 A 2012,N/D,N/D,SEM_MATCH_SECONDS,381.79,1,1.0
MLB5298213536,PFI10C/060,"Jogo Pistão 0,60 Palio Weekend Siena 1.0 16v 01/03",Takao,Pistão,PARAMETRO_NAO_CONFIAVEL,378.47,1,1.0
MLB5298213320,N/D,"Jogo Pistão 0,40 Punto Palio Siena Strada 1.4 8v 04/20",N/D,N/D,SEM_MATCH_SECONDS,374.15,1,1.0
MLB6239427120,N/D,Filtro De Óleo K&n Quadriciclos Can-am Jetski Sea Doo Spark,N/D,N/D,SEM_MATCH_SECONDS,373.29,3,3.0
MLB5298316104,N/D,"Jogo Pistão 0,50 Gol Fox Parati 1.0 8v 07/08",N/D,N/D,SEM_MATCH_SECONDS,372.29,1,1.0
MLB4007058275,N/D,Junta Cabeçote Aço Inox Pajero 2.0 1.8 99/15 Gas/flex,N/D,N/D,SEM_MATCH_SECONDS,366.79,1,1.0
MLB6635578668,JCRFI18A,Jogo Junta Completo Fiat Doblo Idea Strada 1.8 16v E-torq,Takao,Juntas de Motor,PARAMETRO_NAO_CONFIAVEL,358.06,1,1.0
MLB5453943202,N/D,Pastilha Freio Diant Honda Fit 2003 2004 2005 2006 2007 2008,N/D,N/D,SEM_MATCH_SECONDS,353.56,5,5.0
MLB5457059868,N/D,Pastilha Freio Novo Uno 1.0 1.3 1.4 2012 2015 2020 2022 2024,N/D,N/D,SEM_MATCH_SECONDS,346.76,3,8.0
MLB4625451845,WK69,Filtro Combustível Mann Wk69 Jetta Fusca A1 A3 Tsi Tfsi,Mann Filter,Filtros de Combustível,PARAMETRO_NAO_CONFIAVEL,330.28,2,2.0
